,곡인덱스,앨범인덱스,가수인덱스,가수명,곡명,앨범명,가사,장르,곡시간,앨범발매일,계절/시간,장소/상황,감정
10,33442510,10599617,2754623,호미들,ALL MINE (prod. Kidstone) (웹툰 도굴왕),웹툰 도굴왕 OST Part.2,이제는 돈이 되는 것만 쫓아 난 동시에 돈이 되는 나의 혼잣말 더 이상 빨 필요가 없는 손가락 그리고 말해 내 출신은 땅바닥 평생을 뛰어봐라 택배 상하차 벗어날 수 있나 너의 그 단칸방 똑같은 힘으로 이뤄낸 거야 난 안 기다려줘 너의 그 잠깐만 내 걸로 만든다 했으면 죽어도 무조건 만들어 내 걸로 나가서 뛰어야지 굴러야지 세상에 되는 건 없어 저절로 몰라 넌 내 고통 난 절대 아니야 평균 보통 동시에 너네와 같은 종족 한 단계 level up 난 오늘도 미안해 난 가져가야겠어 어떤 수를 쓰더라도 포기할래 나라는 인간 내 사람들을 위해서라면 언제든지 뺄 수 있어 나의 밑장 더 흘려 피 네 것도 내 거고 당연히 내 것도 내 거지 미치지 않으면 이 바닥에 왜 서 있어 난 이 길로 만들어 내 미소 이뤄지는 기도 이제 시작이니 보다 더 빡세게 I go 더 흘려 피 네 것도 내 거고 당연히 내 것도 내 거지 미치지 않으면 이 바닥에 왜 서 있어 난 이 길로 만들어 내 미소 이뤄지는 기도 이제 시작이니 보다 더 빡세게 I go 전부 내 거 so busy 아무것도 없던 놈이 벌어들여 돈 no kizzy 연봉을 억대로 찍었지만 want more not easy 절대로 쉽진 않았어 하나도 no limit 나에겐 한계는 없어 I used to have a bad life 생각도 못 했어 대학 근데 난 대기업 회사 부장보다 더 많은 돈을 채가 근데 내 시작은 땅 밑 내 위치 마치 도굴꾼이랑 비슷 호미들 전부 미필이지만 우리는 언제나 필승 내 삶의 무게로 살아봐 두개골 부서져도 돌아갈 수 없어 달려 난 두 배로 내 곧이곧대로 움직여 but 휴식 따윈 없어 이 돈을 만질진 꿈에도 몰랐지만 노력에 비하면 별 거 없어 한 번뿐인 인생 빡세게 살아 앞으로는 더 이상 후회는 없어 We got a move 이 세상은 패승 승패 쓰디쓴 게임 절대 안 깔아 눈 이 태도는 유지해 돼서도 할아범 경기 전에 라커룸 난 얍삽해 개선 최선 그게 내 패 앞에는 파란불 뿐이고 우리는 성공에 팔아 몸 저 지겨운 가난 속에서 우리 걸 탈환 누군가를 일으킬 반란 쌓이는 racks 우린 누구보다 빨라 장애물들을 다 pass 걸음마 떼기 전에도 난 man 얼음만 가득 찬 내 wrist 욕심과 비례해 나오는 배 기대돼 돈다발과 하게 될 키스 여전해 건들면 pew pew 너넨 또 주춤 호미들 got my back 너네도 걸어 네 목숨 그게 네 수준 너넨 걍 발을 빼 억을 벌기 전까진 뭘 못해 이쁜이들은 내가 좋대 내 것도 당연히 내 건데 너네 것도 내 거야 okay 더 흘려 피 네 것도 내 거고 당연히 내 것도 내 거지 미치지 않으면 이 바닥에 왜 서 있어 난 이 길로 만들어 내 미소 이뤄지는 기도 이제 시작이니 보다 더 빡세게 I go 더 흘려 피 네 것도 내 거고 당연히 내 것도 내 거지 미치지 않으면 이 바닥에 왜 서 있어 난 이 길로 만들어 내 미소 이뤄지는 기도 이제 시작이니 보다 더 빡세게 I go,랩/힙합,171,2021-04-29,,,
11,33441791,10599445,2298855,Skinny Brown,이겨 (Feat. Leellamarz),More Mood,쓰고 다시 벌어 우리가 생각하는 winnin 시간이 갔고 쟤들은 손도 못대 ceiling fuck up some commas after winnin and the winning dead bodies all around me after killing and the killing 모두 제거한 뒤에 오늘 저녁 먹어 치킨 근데 아직 배고프지 작업실은 kitchin 모두 떠나간 뒤에도 여전히 홍대에 위치해 우린 여기 있지 yeah we steady winnin win win winnin like oh 우린 이겨버려 like oh win win winnin like 앰비션 데이토나 life win win winnin like oh 우린 이겨버려 like oh win win winnin like baby its a real life 삭막하던 콘크리트 위에 꽃이 yeah we goin 업이지 여태 뻐긴 날에 후횐 하나 없어 그래서 벌고 있어 won yen dollars make money like 대표 young bruce wayne fuck it Imma fuck it all these hoes and leave 쟤네 hard 하다는데 어때 let me see 젊은 애들 알어 we the best major keys 이러다 닿겠어 하늘 위로 I swim 발자국 정직했어 내 칼자루 위에 핏자국 조금 걸어도 되겠어 팔자로 난 진다는 느낌만 알아서 장난을 칠 수가 없었어 준비했지 만반의 my whole life 준비했어 winnin 공중전화박스 안에서 자던 날을 다시 기림 그래서 난 원했나 봐 층고 높은 ceiling 누군가는 알까 이런 삶의 주인 feelings whole different league Im in it 뒤에 시간은  Im winning now Im getting bands like live halls running from the karma like its fiveos 발로 걷어차지 뱀 soccer 너의 멘탈은 부서져 taco 친구들이 몰아주는 차에 올라타 사이드 미러 담배 연기 fire 쓰고 다시 벌어 우리가 생각하는 winnin 시간이 갔고 쟤들은 손도 못대 ceiling fuck up some commas after winnin and the winning dead bodies all around me after killing and the killing 모두 제거한 뒤에 오늘 저녁 먹어 치킨 근데 아직 배고프지 작업실은 kitchin 모두 떠나간 뒤에도 여전히 홍대에 위치해 우린 여기 있지 yeah we steady winnin win win winnin like oh 우린 이겨버려 like oh win win winnin like 앰비션 데이토나 life win win winnin like oh 우린 이겨버려 like oh win win winnin like baby its a real life 쓰고 다시 벌어 다시 쓰고 다시 벌어의 반복 이제 이딴 것들은 내게 easy 난 앨범을 낼뿐이지 여전히 똑같은 thinking 닿기를 바래 나의 진심 연희동 gang gang 너무 높은 콧대 맞추려면 넣어 plastic 니 오빠는 사실 가짜 flex를 하고 있어 지금 래퍼들의 월급은 우리들의 간식 토일이형 bmw 시동 부릉부릉 난 쥐새끼들 잡는 아비시니안 그릉그릉 뱀 밭 위에 뱀 밭 그 위에 깽 값 물고 꽤 괜찮은 집에 앉아 전에 맨발로 뛰었던 바닥을 회상하곤 하지 너도 할 수 있어 if you rap hard 나는 기도했어 매일 밤 쏟아지길 바랬지 daylight Leellamarz dont know how to lose it 매일 들려오지 좋은 소식 왜냐면 난 지켰거든 소신 평생 wayside 수호신 Skinny my brother from another mother But 아빠는 같아서 shout out The Quiett 년 전에 된다고 했던 우린 틀린 적 없고 전부 다 맞았어 쓰고 다시 벌어 우리가 생각하는 winnin 시간이 갔고 쟤들은 손도 못대 ceiling fuck up some commas after winnin and the winning dead bodies all around me after killing and the killing 모두 제거한 뒤에 오늘 저녁 먹어 치킨 근데 아직 배고프지 작업실은 kitchin 모두 떠나간 뒤에도 여전히 홍대에 위치해 우린 여기 있지 yeah we steady winnin win win winnin like oh 우린 이겨버려 like oh win win winnin like 앰비션 데이토나 life win win winnin like oh 우린 이겨버려 like oh win win winnin like baby its a real life,랩/힙합,207,2021-04-28,,,
12,33439096,10598763,858125,케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),언제나 너의 곁에 있어 줄게 눈부시게 빛나 모든 날들이 세상 모두가 변한다 해도 변함없이 너를 사랑해 어떤 날은 좋고 어떤 날은 또 그저 그래 변덕이 심한 나에게 모든 걸 맞춰준 너 um 있는 그대로의 나를 좋아해줘서 그래서 나도 아낌없이 너를 사랑하나 봐 언제나 너의 곁에 있어 줄게 눈부시게 빛나 모든 날들이 세상 모두가 변한다 해도 변함없이 너를 사랑해 너무 행복해서 가끔은 불안하기도 해 다 사라질까 겁이 나 다시 혼자될까 봐 um 그럴 때마다 꼭 안아주던 너 눈물이 났어 네가 주는 마음이 고마워서 언제나 너의 곁에 있어 줄게 눈부시게 빛나 모든 날들이 세상 모두가 변한다 해도 변함없이 너를 사랑해 너의 발걸음에 빛을 비춰줄게 작은 어둠도 오지 못하게 내가 함께 해줄게 지금처럼 my love 영원히 너의 편이 되어줄게 내가 지켜줄 단 한 사람 소중한 내 사람,발라드,209,2021-04-27,,,
13,33437473,10598320,2640829,AB6IX (에이비식스),감아 (CLOSE),MO' COMPLETE : HAVE A DREAM,거짓말이야 baby 아무렇지 않은 척할 뿐 yeah yeah Ill never forget 널 만난 게 행운인걸 I promise you 한 번 더 아니 백 번 천 번이라도 봄이 지나 겨울 다시 또 다른 봄 봄 봄이 와도 oh yeah 내 꿈 안에 자리는 오직 너 매일 품 안에 안기는 꿈을 꿔 Just two of us 가로막지 못해 누가 뭐라던 걱정하지 마 크게 나를 불러도 좋아 시간의 귀를 막을 게 신경 쓰지 마 꽉 잡아 내 손 놓지 않아도 돼 운명의 눈을 가릴게 And close your eyes 눈을 감아 그냥 내게 맡겨 널 Like a blind 불빛 하나 없는 거기 어디든 내딛는 걸음 하나하나 지켜줄게 close your eyes 그냥 날 믿고 like a blind 겁내지 마 눈 감아도 날 느낄 수 있게 close your eyes 이젠 날 믿고 like a blind 거짓말이야 baby 길을 잃은 걸지도 몰라 wooh yeah But I will never leave you 미안하단 말하지 않을게 모든 감각은 너를 향해 뻗어있어 눈을 가린 채 난 걷지 어디 가든 너와 닿을 테니 매일 밤 꿈 너와 손가락을 걸어 운명 따윈 다 거스르겠다고 말이야 난 믿어 우린 없다고 끝이 내 손의 온기가 계속 느껴진다면 나에게 몸을 던져 close your eyes 이젠 날 믿어 걱정하지 마 크게 나를 불러도 좋아 시간의 귀를 막을 게 신경 쓰지 마 꽉 잡아 내 손 놓지 않아도 돼 운명의 눈을 가릴 게 And close your eyes 눈을 감아 그냥 내게 맡겨 널 Like a blind 불빛 하나 없는 거기 어디든 내딛는 걸음 하나하나 지켜줄게 close your eyes 그냥 날 믿고 like a blind 겁내지 마 눈 감아도 날 느낄 수 있게 close your eyes 이젠 날 믿고 like a blind 우리가 함께 켠 그 불이 꺼져도 운명에 등을 지고 여기 너와 나 둘만 남아 And close your eyes 눈을 감아 그냥 내게 맡겨 널 Like a blind 불빛 하나 없는 거기 어디든 내딛는 걸음 하나하나 지켜줄게 close your eyes 그냥 날 믿고 like a blind 겁내지 마 눈 감아도 날 느낄 수 있게 close your eyes 이젠 날 믿고 like a blind,댄스,220,2021-04-26,,,
14,33437611,10598357,2899079,ENHYPEN,Drunk-Dazed,BORDER : CARNIVAL,아름답고 황홀해 반짝이는 내 각막은 다이아몬드 규칙 없는 세계는 전부 뒤집혀 뒤집혀 서있어 Turning up the party now 하늘엔 내 발이 wow 사람들은 ha ha high 내 귓속에는 la la loud 눈부셔 Baby 이 조명 Shining Were in love with this carnival 사실 무서워 난 출렁이는 잔속 이 취한 세계 그 끝엔 목이 타는 내 맘 But I just wanna stay 느껴져 내 머린 Daze Daze Daze 중독에 빠져 Replay Play Play 원함 원하는 대로 갈 때까지 가봐 Go 나를 가둔 Carnival wow wow 다시 내 심장이 Daze Daze Daze Cant control my body dance dance dance 달콤한 이 향기도 붉은빛 송곳니도 즐겨봐 이 Carnival wow wow Mmm 경계선을 넘어 날 불러 날 모든 것이 바뀌어 모두 무너져 잠긴 문 너머 손 뻗어 난 고통이 날 반겨 갈증의 향연 사실 두려워 난 거울 속의 내가 낯설기만 해 이 가면 뒤 초라한 진실 But I never escape 느껴져 내 머린 Daze Daze Daze 중독에 빠져 Replay Play Play 원함 원하는 대로 갈 때까지 가봐 Go 나를 가둔 Carnival wow wow 다시 내 심장이 Daze Daze Daze Cant control my body dance dance dance 달콤한 이 향기도 붉은빛 송곳니도 즐겨봐 이 Carnival wow wow 나에게 주어진 그 빛 성화의 불길 Ah 주인이 될 때까지 Imma ride 느껴져 내 머린 Daze Daze Daze 중독에 빠져 Replay Play Play 원함 원하는 대로 갈 때까지 가봐 Go 나를 가둔 Carnival wow wow 다시 내 심장이 Daze Daze Daze Cant control my body dance dance dance 달콤한 이 향기도 붉은빛 송곳니도 즐겨봐 이 Carnival wow wow 난 나를 깨워 심장을 태워 내 꿈을 채워 난 나를 깨워 심장을 태워 내 꿈을 채워,록/메탈,193,2021-04-26,,,
15,33434210,10597769,966674,비비 (BB),Morning Cafe,Morning Cafe,뜨거운 곳에 떠나고 싶어 네 손을 끼고 baby 아무 생각 없이 멀리 떠나고 싶어 우리 둘만 있는 곳에 Morning cafe 안에서 yeah 시덥지 않은 그런 얘기 하얀 Sofa 위에서 yeah 시간이 가는 줄도 모르게 yeah 매일 같은 하루에 지쳐 버렸어 난 똑같이 보이는 모습에 질렸어 난 요즘에 난 계속 맘이 그래 Want to mask off and we go far from Seoul 그냥 너를 보여 주면 돼 우린 굳이 화려하지 않아도 돼 가벼운 티 한 장으로 baby all night When sun is down 너와 붉게 물든 바다 위에 하늘을 보고 싶어 서로 궁금한 걸 물어보며 baby 네 곁에 누워 있고 싶어 뜨거운 곳에 떠나고 싶어 네 손을 끼고 baby 아무 생각 없이 멀리 떠나고 싶어 우리 둘만 있는 곳에 Morning cafe 안에서 yeah 시덥지 않은 그런 얘기 하얀 Sofa 위에서 yeah 시간이 가는 줄도 모르게 yeah 좋은 view 좋은 기분 네 사진을 찍어 주고 싶어 Slow it down 늦은 Morning 시간이 느리게 가는 곳에 지금 떠나고 싶어 핸드폰은 너를 찍을 때만 들고 아무 계획없이 baby just fly 시원한 바람이 불 때 내 고민을 모두 날리고 싶어 중요하지 않은 얘기들로 baby 너와 이 밤을 채우고 싶어 뜨거운 곳에 떠나고 싶어 네 손을 끼고 baby 아무 생각 없이 멀리 떠나고 싶어 우리 둘만 있는 곳에 Morning cafe 안에서 yeah 시덥지 않은 그런 얘기 하얀 Sofa 위에서 yeah 시간이 가는 줄도 모르게 yeah,R&B/Soul,181,2021-04-25,,,
16,33434296,10597793,2875189,이민석,Victory,From 22,Wake up and get the win Go back enter V 원했던 feel이 와 Make up idea Wake up and get the win Go back enter V 원했던 feel이 와 Good morning 하마터면 다 포기할 뻔했어 힘이 쭉 빠져 아무것도 하기 싫은 걸 지 코가 석잔 걸 모르는 애들 내게 말해 그렇게 살다간 너 나중에 큰일 날걸 그딴 말 하는 애들 중 절반은 뭐 하나 목숨 걸어본 적도 없는 애들 주파수가 통한담 알겠지 의밀 ah 울리지 방안 가득 꽉 찬 건 신음 뿌듯하지 난 안 봐 뒤를 킥 드럼 앞에서는 높아지는 내 지능 물론 학력에 있어선 티를 안내 bae 벌써 습관이 돼버렸어 이 무기력함은 게으름과는 거리가 멀은 걸 그저 눈에 안 보이던 Victory 원해 난 Oh I feel like I won a lotto 벌써 이뤄낸 듯이 행동하지 worldwide 확신은 커가 저 거울을 봐 머리에 있던 것들이 이뤄져 가 내년 안엔 victory 이뤄내 휴식들은 미뤄내 다 원한 그 자리에 날 앉혀야 해 내년 안엔 victory 이뤄내 휴식들은 미뤄내 다 원한 그 자리에 날 앉혀야 해 말하는 대로 이뤄지는걸 두 눈으로 난 봤으니 한 번 더 많은 걸 난 바라게 돼 그래도 변하지 않아 겸손한 이 태도가 내년 안에 내 얼굴이 알려지게 될 거고 모두가 바라는 회사에 자리 하날 차지 할거야 여전히 나답기를 원해 more 나대로의 멋이 여전할거야 그것조차 아니꼽다면은 돌아서도 돼 이런 내 삶을 알고 싶어 하지마 몰라도 돼 확실히 난 맨 정신 아냐 외로워하지 일로와 Keep it  같이 달려가 빛을 가져와 벌써 습관이 돼버렸어 이 무기력함은 게으름과는 거리가 멀은 걸 그저 눈에 안 보이던 Victory 원해 난 Oh I feel like I won a lotto 벌써 이뤄낸 듯이 행동하지 worldwide 확신은 커가 저 거울을 봐 머리에 있던 것들이 이뤄져 가 내년 안엔 victory 이뤄내 휴식들은 미뤄내 다 원한 그 자리에 날 앉혀야 해 내년 안엔 victory 이뤄내 휴식들은 미뤄내 다 원한 그 자리에 날 앉혀야 해,랩/힙합,200,2021-04-24,,,
17,33434340,10597803,1142,임창정,소주 한 잔 (Live ver.),LIVE ON UNPLUGGED - 임창정,술이 한 잔 생각나는 밤 같이 있는 것 같아요 그 좋았던 시절들 이젠 모두 한숨만 되네요 떠나는 그대 얼굴이 혹시 울지나 않을까 나 먼저 돌아섰죠 그때부터 그리워요 사람이 변하는 걸요 다시 전보다 그댈 원해요 이렇게 취할 때면 꺼져버린 전화를 붙잡고 여보세요 나야 거기 잘 지내니 여보세요 왜 말 안하니 울고 있니 내가 오랜만이라서 사랑하는 사람이라서 그대 소중한 마음 밀쳐낸 이기적인 그때의 나에게 그대를 다시 불러오라고 미친 듯이 외쳤어 떠나는 그대 얼굴이 마치 처음과 같아서 나 눈물이 났어요 그때부터 그리워요 사람이 변하는 걸요 다시 전보다 그댈 원해요 이렇게 취할때면 바뀌어버린 전화번호 누르고 여보세요 나야 거기 잘 지내니 오랜만이야 내 사랑아 그대를 다시 불러오라고 미친 듯이 울었어 우 여보세요 나야 정말 미안해 이기적인 그때의 나에게 그대를 다시 불러오라고 미친 듯이 외쳤어,발라드,311,2021-04-24,,,
18,33428415,10596214,8741,John Lennon,Remember (Ultimate Mix),Plastic Ono Band (The Ultimate Collection),Verse  Remember when you were young How the hero was never hung Always got away  Verse  Remember how the man Used to leave you empty handed Always always let you down  Verse  If you ever change your mind About leaving it all behind Remember remember today Hey hey  Chorus Dont feel sorry The way its gone And dont you worry About what youve done  Verse  Just remember When you were small How people seemed so tall Always had their way Hey hey  Verse  Do you remember your ma and pa Just wishing for movie stardom Always always playing a part  Verse  If you ever feel so sad And the whole world is driving you mad Remember remember today Hey hey  Chorus Dont feel sorry About the way its gone Dont you worry About what youve done  Outro Remember Remember the Fifth of November,록/메탈,329,2021-04-23,,,
19,33429059,10596374,2402797,keshi,beside you,beside you,Oh Its just you and I and no other guys We got no interruptions and we both feelin the vibe Say Im not your type But I know whats on your mind We can talk about nothin or we can see what its like Dont lie baby dont lie His love never felt right Switch sides and Im beside you If you say its alright Dont lie baby dont lie Way too many heads need a steady view Smokin cigarettes at the rendezvous Never meant to cross you But my jaw hit the floor with the one two Think I want you You say this aint love but its still the same love Make love anythin to sate ya Dont be shy you decide Say can I make you mine Dont lie baby dont lie His love never felt right Switch sides and Im beside ya If you say its alright Lemme show you how it feel like Dont lie baby dont lie His love never felt right Switch sides and Im beside ya If you say its alright Dont lie baby dont lie Ahh Your skin so fine Ahahh ahh Come close baby put it on mine Ahh Your skin so fine Ahahh ahh Come close baby put it on mine Its just you and I and no other guys We got no interruptions and we both feelin the vibe Say Im not your type But I know whats on your mind We can talk about nothin or we can see what its like Noohhohh yeahyeahyeah Dont lie baby dont lie His love never felt right Switch sides and Im beside ya Ahh If you say its alright Ahahh ahh Lemme show you what it feel like Dont lie baby dont lie Its like but were safe,POP,166,2021-04-23,,,
20,33432755,10597392,1183574,SF9,The Stealer (The Scene),킹덤 <RE-BORN> Part.1,Im the Stealer 심장 가장 깊숙한 곳 가 움켜쥔 순간 Pull the trigger 잔인하게 널 쓰러트리고 난 또 사라져 푸른 새벽 어두운 틈새 네게 범죄처럼 스며 들어가 소중한 걸 훔쳐 가려 해 Got me feeling so right Got me feeling so right Never let a good crisis go to waste 검은 어둠 속 어딘가 존재하는 빛을 따라 순간은 찰나 빛이 서로를 갈라놓기 전에 꼭 내가 널 가지러 갈게 Oh Oh 맘이 조급해져 Yeah 널 놓치고 싶지 않은데 이 맘 아는 듯 모르는 듯 Oh this desire dire Im the Stealer 심장 가장 깊숙한 곳 가 움켜쥔 순간 Pull the trigger 잔인하게 널 쓰러트리고 난 또 사라져 당최 이해 전무후무 거기 선수 쓰잘데기 없는 수출품은 저기 후문 출구 나는 방황하는 반항자에 반응 다음은 참으로도 딱하도다 가져가 봐 내 눈 똑바로 본 다음에 Is it an addiction 이건 쉽지 않은 Mission Losin your mind 딱 한 번의 Win 이 상황 속에 널 묶으려 해 Oh Oh its not over yet Yeah 사건 속의 널 잡으려 해 내 마음에 불을 지핀 채 Oh Im on a fire fire 봤지 다 사치 이미 판을 전부 짜놓은 거 같이 똑같이 희미하지 Solo Dios Sabe 어차피 멎은 듯 식은 내 숨 차갑게 망가진 나의 심장과 텅 빈 네 가슴뿐 Im the Stealer Yah 심장 가장 깊숙한 곳 가 Thats right 마주친 순간 Pull the trigger Yah 잔인하게 널 쓰러트리고 난 또 사라져 Im the Stealer Pull the trigger Yah 잔인하게 널 쓰러트리고 난 또 사라져,댄스,266,2021-04-23,,,
21,33433466,10597583,535440,B1A4,10 TIMES,10 TIMES,첫 만남에 나 꽂혔어 너에게 수줍은 한 소녀 나 너에게만 뭐든지 해줄 게 Youre my only one Beautiful my love 널 보면 숨이 멎어 버릴 것 같아 내게도 사랑이 와준 것만 같아 어떡해야 어떻게 말해야 내 맘이 전해질까 떨리고 조심스럽긴 하지만 좋아해 You 예쁜 영화 속 주인공처럼 You 함께했던 아름다웠었던 모든 시간 속 환한 그 미소 꼭 지켜줄 게 어디든 내가 있을게 You 밤하늘 위 별빛의 노랠 부르네 Love you Love you Love you Love you 우리 둘만의 Paradise 이 모든 건 To my star 선물 같아 너와의 시간 우리는 점점 더 빠져 만가 널 보면 숨이 멎어 버릴 것 같아 내게도 사랑이 와준 것만 같아 어떡해야 어떻게 말해야 내 맘이 전해질까 떨리고 조심스럽긴 하지만 좋아해 You 예쁜 영화 속 주인공처럼 You 함께했던 아름다웠었던 모든 시간 속 환한 그 미소 꼭 지켜줄 게 어디든 내가 있을게 You 좋아해 uh uh uh uh uh 좋아해 uh uh uh uh uh 좋아해 You 예쁜 영화 속 주인공처럼 You 함께했던 아름다웠었던 모든 시간 속 환한 그 미소 꼭 지켜줄 게 어디든 내가 있을게 You,발라드,221,2021-04-23,,,
22,33433769,10597662,710093,The Weeknd,Save Your Tears (Remix),Save Your Tears (Remix),Ooh Ooh Na na yeah I saw you dancing in a crowded room You look so happy when Im not with you But then you saw me caught you by surprise A single teardrop falling from your eye I dont know why I run away Oh oh oh oh oh Ill make you cry when I run away Oh oh oh oh oh Take me back cause I wanna stay Save your tears for another Save your tears for another day Oh oh oh oh oh Save your tears for another day Met you once under a Pisces moon I kept my distance cause I know that you Dont like when Im with nobody else I couldnt help it I put you through hell I dont know why I run away Oh oh oh oh oh Oh boy Ill make you cry when I run away Oh oh oh oh oh Boy take me back cause I wanna stay Save your tears for another I realize that its much too late And you deserve someone better Save your tears for another day Oh oh oh oh oh Save your tears for another day Oh oh oh oh oh I dont know why I run away Bum bum bum bum bum Ill make you cry when I run away Save Save your tears for another day Ooh ooh girl Oh oh oh oh oh okay I said save your tears for another day Oh oh oh oh oh Save your tears for another day Ah Save your tears for another day Ah,R&B/Soul,216,2021-04-23,,,
23,33430095,10596629,43806,하동균,기다릴게,기다릴게,한걸음 걸어가죠 니 모습 눈물에 가리죠 내 눈물 밟으며 가까이 가까이 다가오는 너 초라한 내 모습이 니 마음 아프게 할까 겁나 숨죽여서 나 울고 있죠 꿈꾸는 듯 아름다운 내 사랑 점점 멀어지죠 나 니가 없는 이 세상에 시간에 혼자 살아 사는 게 사는 것이 아니라도 늘 그 자리에 눈 감는 날까지 나 영원히 너를 기다릴게 지우려 애를 써도 가슴에 니가 매일 얹혀서 너를 계속 나 찾아가죠 내 사랑이 짐이 될까 두렵죠 못난 내가 밉죠 나 니가 없는 이 세상에 시간에 혼자 살아 사는 게 사는 것이 아니라도 늘 그 자리에 눈 감는 날까지 나 영원히 기다릴게 나 니가 없는 이 세상에 시간에 혼자 살아 매일 널 기다리다 지쳐가도 끝내 네게 나 못한 말 울음부터 나왔던 말 널 사랑한다 사랑한다 끝내 못한 말 나 니가 없는 이 세상에 시간에 추억에 살아도 사는 것이 아니라도 늘 그 자리에 눈 감는 날까지 나 영원히 너만 사랑할게,발라드,250,2021-04-22,,,
24,33444111,10599918,223745,The Wombats,Jump into the Fog,The Wombats Proudly Present... This Modern Glitch (10th Anniversary Edition),What a great achievement it was To get a hotel room this late Ill bet they charge by the hour here The kind of place you should bring your own UV ray Its not a big problem with me love You dont look that hygienic anyway Im only here because I wanna twist the structure of my average day  Chorus We feel nothing so jump into the fog In the hope that we hit the ground upright We feel nothing so jump into the fog I just hope its your bones that shatter not mine We feel nothing so jump into the fog In the hope that we hit the ground upright We feel nothing so jump into the fog  Verse  What a great achievement it was To find someone that shared such little selfrestraint Im a nonbeliever but I believe in these dirty little wicked games Snakes and ladders are banned in here love The climbs too rough just to slide back down again Im only here because I feel the day deserves a truly sordid end  Chorus We feel nothing so jump into the fog In the hope that we hit the ground upright We feel nothing so jump into the fog I just hope its your brains that splatter not mine We feel nothing so jump into the fog In the hope that we hit the ground upright We feel nothing so jump into the fog  Bridge Ive made some bad decisions Ill admit that freely Its just that life tastes sweeter when its wrapped in debauchery So drop your map drop your plans drop that fivestep program Because theres not an ounce of faith in this leap Its clear you feel nothing so jump into the fog with me Jump in jump in jump in  Instrumental Break  Outro Jump into the fog Jump into the fog Jump into the fog Jump into the fog  Radio Sample Music comedy fireworks and flagwaving patriotism Youll remember the rest of your life Rest of your life rest of your life,록/메탈,232,2021-04-22,,,
25,33427411,10595963,2933594,네이비쿼카 (NavyQuokka),솔직하게 말할까,솔직하게 말할까,눈을 뜨면 내 옆엔 늘 네가 있어 주면 좋을 것 같다는 상상을 해 바보 같다 해도 난 좋아 so 내 머릿속엔 온통 오 너만 떠올라서 no way 심장 떨리지만 아무렇지 않은척하고서 네게 전화를 걸어 신나게 춤을 추고 난 새들도 노랠 불러 오늘은 모든 게 다 잘 될 것 같은 기분 feels like oh yeah 어디야 지금 뭐 해라고 말하면 너무 부담스러울까 어떤 게 좋을까 나 지금 네가 너무 보고 싶어서 전화했다고 솔직하게 말할까 너에게 가고 있어 어느새 나도 모르게 신나게 춤을 추고 난 새들도 노랠 불러 오늘은 모든 게 다 잘 될 것 같은 기분 feels like oh yeah 오늘은 모든 게 다 잘 될 것 같은 기분 눈을 뜨면 내 옆엔 늘 네가 있어 주면 좋을 것 같다는 상상을 해 바보 같다 해도 난 좋아,R&B/Soul,180,2021-04-21,,,
