music_index,album_index,singer_index,singer,song,album,lyrics,genre,music_titme,album_released,time,activity,emotion
33442510,10599617,2754623,호미들,ALL MINE (prod. Kidstone) (웹툰 도굴왕),웹툰 도굴왕 OST Part.2,이제는 돈이 되는 것만 쫓아 난 동시에 돈이 되는 나의 혼잣말 더 이상 빨 필요가 없는 손가락 그리고 말해 내 출신은 땅바닥 평생을 뛰어봐라 택배 상하차 벗어날 수 있나 너의 그 단칸방 똑같은 힘으로 이뤄낸 거야 난 안 기다려줘 너의 그 잠깐만 내 걸로 만든다 했으면 죽어도 무조건 만들어 내 걸로 나가서 뛰어야지 굴러야지 세상에 되는 건 없어 저절로 몰라 넌 내 고통 난 절대 아니야 평균 보통 동시에 너네와 같은 종족 한 단계 level up 난 오늘도 미안해 난 가져가야겠어 어떤 수를 쓰더라도 포기할래 나라는 인간 내 사람들을 위해서라면 언제든지 뺄 수 있어 나의 밑장 더 흘려 피 네,랩/힙합,171,2021-04-29,겨울_새벽,차량/운전중,분노
33441791,10599445,2298855,Skinny Brown,이겨 (Feat. Leellamarz),More Mood,쓰고 다시 벌어 우리가 생각하는 winnin 시간이 갔고 쟤들은 손도 못대 ceiling fuck up some commas after winnin and the winning dead bodies all around me after killing and the killing 모두 제거한 뒤에 오늘 저녁 먹어 치킨 근데 아직 배고프지 작업실은 kitchin 모두 떠나간 뒤에도 여전히 홍대에 위치해 우린 여기 있지 yeah we steady winnin win win winnin like oh 우린 이겨버려 like oh win win winnin like 앰비션 데이토나 life win win winnin like oh 우린 이겨버려 like oh win win winnin like baby its a real life 삭막하던 콘크리트 위에 꽃이 yeah we goin 업이지 여태 뻐긴,랩/힙합,207,2021-04-28,여름_저녁,차량/운전중,사랑
33439096,10598763,858125,케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),언제나 너의 곁에 있어 줄게 눈부시게 빛나 모든 날들이 세상 모두가 변한다 해도 변함없이 너를 사랑해 어떤 날은 좋고 어떤 날은 또 그저 그래 변덕이 심한 나에게 모든 걸 맞춰준 너 um 있는 그대로의 나를 좋아해줘서 그래서 나도 아낌없이 너를 사랑하나 봐 언제나 너의 곁에 있어 줄게 눈부시게 빛나 모든 날들이 세상 모두가 변한다 해도 변함없이 너를 사랑해 너무 행복해서 가끔은 불안하기도 해 다 사라질까 겁이 나 다시 혼자될까 봐 um 그럴 때마다 꼭 안아주던 너 눈물이 났어 네가 주는 마음이 고마워서 언제나 너의 곁에 있어 줄게 눈부시게 빛나 모든 날들이 세상 모두가 변한다 해도 변함없이 너를 사랑해 너의 발걸음에,발라드,209,2021-04-27,겨울_새벽,휴식/수면,기쁨
33437473,10598320,2640829,AB6IX (에이비식스),감아 (CLOSE),MO' COMPLETE : HAVE A DREAM,거짓말이야 baby 아무렇지 않은 척할 뿐 yeah yeah Ill never forget 널 만난 게 행운인걸 I promise you 한 번 더 아니 백 번 천 번이라도 봄이 지나 겨울 다시 또 다른 봄 봄 봄이 와도 oh yeah 내 꿈 안에 자리는 오직 너 매일 품 안에 안기는 꿈을 꿔 Just two of us 가로막지 못해 누가 뭐라던 걱정하지 마 크게 나를 불러도 좋아 시간의 귀를 막을 게 신경 쓰지 마 꽉 잡아 내 손 놓지 않아도 돼 운명의 눈을 가릴게 And close your eyes 눈을 감아 그냥 내게 맡겨 널 Like a blind 불빛 하나 없는 거기 어디든 내딛는,댄스,220,2021-04-26,봄_저녁,산책/걷는중,분노
33437611,10598357,2899079,ENHYPEN,Drunk-Dazed,BORDER : CARNIVAL,아름답고 황홀해 반짝이는 내 각막은 다이아몬드 규칙 없는 세계는 전부 뒤집혀 뒤집혀 서있어 Turning up the party now 하늘엔 내 발이 wow 사람들은 ha ha high 내 귓속에는 la la loud 눈부셔 Baby 이 조명 Shining Were in love with this carnival 사실 무서워 난 출렁이는 잔속 이 취한 세계 그 끝엔 목이 타는 내 맘 But I just wanna stay 느껴져 내 머린 Daze Daze Daze 중독에 빠져 Replay Play Play 원함 원하는 대로 갈 때까지 가봐 Go 나를 가둔 Carnival wow wow 다시 내 심장이 Daze Daze Daze Cant control my body dance dance dance 달콤한 이 향기도,록/메탈,193,2021-04-26,여름_아침,차량/운전중,안정
33434210,10597769,966674,비비 (BB),Morning Cafe,Morning Cafe,뜨거운 곳에 떠나고 싶어 네 손을 끼고 baby 아무 생각 없이 멀리 떠나고 싶어 우리 둘만 있는 곳에 Morning cafe 안에서 yeah 시덥지 않은 그런 얘기 하얀 Sofa 위에서 yeah 시간이 가는 줄도 모르게 yeah 매일 같은 하루에 지쳐 버렸어 난 똑같이 보이는 모습에 질렸어 난 요즘에 난 계속 맘이 그래 Want to mask off and we go far from Seoul 그냥 너를 보여 주면 돼 우린 굳이 화려하지 않아도 돼 가벼운 티 한 장으로 baby all night When sun is down 너와 붉게 물든 바다 위에 하늘을 보고 싶어 서로 궁금한 걸 물어보며 baby 네 곁에 누워 있고 싶어,R&B/Soul,181,2021-04-25,봄_새벽,차량/운전중,안정
33434296,10597793,2875189,이민석,Victory,From 22,Wake up and get the win Go back enter V 원했던 feel이 와 Make up idea Wake up and get the win Go back enter V 원했던 feel이 와 Good morning 하마터면 다 포기할 뻔했어 힘이 쭉 빠져 아무것도 하기 싫은 걸 지 코가 석잔 걸 모르는 애들 내게 말해 그렇게 살다간 너 나중에 큰일 날걸 그딴 말 하는 애들 중 절반은 뭐 하나 목숨 걸어본 적도 없는 애들 주파수가 통한담 알겠지 의밀 ah 울리지 방안 가득 꽉 찬 건 신음 뿌듯하지 난 안 봐 뒤를 킥 드럼 앞에서는 높아지는 내 지능 물론 학력에 있어선 티를 안내 bae 벌써 습관이,랩/힙합,200,2021-04-24,가을_아침,운동/훈련중,슬픔
33434340,10597803,1142,임창정,소주 한 잔 (Live ver.),LIVE ON UNPLUGGED - 임창정,술이 한 잔 생각나는 밤 같이 있는 것 같아요 그 좋았던 시절들 이젠 모두 한숨만 되네요 떠나는 그대 얼굴이 혹시 울지나 않을까 나 먼저 돌아섰죠 그때부터 그리워요 사람이 변하는 걸요 다시 전보다 그댈 원해요 이렇게 취할 때면 꺼져버린 전화를 붙잡고 여보세요 나야 거기 잘 지내니 여보세요 왜 말 안하니 울고 있니 내가 오랜만이라서 사랑하는 사람이라서 그대 소중한 마음 밀쳐낸 이기적인 그때의 나에게 그대를 다시 불러오라고 미친 듯이 외쳤어 떠나는 그대 얼굴이 마치 처음과 같아서 나 눈물이 났어요 그때부터 그리워요 사람이 변하는 걸요 다시 전보다 그댈 원해요 이렇게 취할때면 바뀌어버린 전화번호 누르고 여보세요 나야 거기 잘 지내니 오랜만이야 내 사랑아 그대를,발라드,311,2021-04-24,겨울_새벽,휴식/수면,슬픔
33428415,10596214,8741,John Lennon,Remember (Ultimate Mix),Plastic Ono Band (The Ultimate Collection),Verse  Remember when you were young How the hero was never hung Always got away  Verse  Remember how the man Used to leave you empty handed Always always let you down  Verse  If you ever change your mind About leaving it all behind Remember remember today Hey hey  Chorus Dont feel sorry The way its gone And dont you worry About what youve done  Verse  Just remember When you were small How people seemed so tall Always had their way Hey hey  Verse  Do you remember your ma and pa,록/메탈,329,2021-04-23,겨울_점심,산책/걷는중,분노
33429059,10596374,2402797,keshi,beside you,beside you,Oh Its just you and I and no other guys We got no interruptions and we both feelin the vibe Say Im not your type But I know whats on your mind We can talk about nothin or we can see what its like Dont lie baby dont lie His love never felt right Switch sides and Im beside you If you say its alright Dont lie baby dont lie Way too many heads need a steady view Smokin cigarettes at the rendezvous Never meant to cross you But my jaw hit the floor with the one two Think I,POP,166,2021-04-23,겨울_점심,산책/걷는중,분노
33432755,10597392,1183574,SF9,The Stealer (The Scene),킹덤 <RE-BORN> Part.1,Im the Stealer 심장 가장 깊숙한 곳 가 움켜쥔 순간 Pull the trigger 잔인하게 널 쓰러트리고 난 또 사라져 푸른 새벽 어두운 틈새 네게 범죄처럼 스며 들어가 소중한 걸 훔쳐 가려 해 Got me feeling so right Got me feeling so right Never let a good crisis go to waste 검은 어둠 속 어딘가 존재하는 빛을 따라 순간은 찰나 빛이 서로를 갈라놓기 전에 꼭 내가 널 가지러 갈게 Oh Oh 맘이 조급해져 Yeah 널 놓치고 싶지 않은데 이 맘 아는 듯 모르는 듯 Oh this desire dire Im the Stealer 심장 가장 깊숙한 곳 가 움켜쥔 순간 Pull the trigger,댄스,266,2021-04-23,여름_저녁,차량/운전중,분노
33433466,10597583,535440,B1A4,10 TIMES,10 TIMES,첫 만남에 나 꽂혔어 너에게 수줍은 한 소녀 나 너에게만 뭐든지 해줄 게 Youre my only one Beautiful my love 널 보면 숨이 멎어 버릴 것 같아 내게도 사랑이 와준 것만 같아 어떡해야 어떻게 말해야 내 맘이 전해질까 떨리고 조심스럽긴 하지만 좋아해 You 예쁜 영화 속 주인공처럼 You 함께했던 아름다웠었던 모든 시간 속 환한 그 미소 꼭 지켜줄 게 어디든 내가 있을게 You 밤하늘 위 별빛의 노랠 부르네 Love you Love you Love you Love you 우리 둘만의 Paradise 이 모든 건 To my star 선물 같아 너와의 시간 우리는 점점 더 빠져 만가 널 보면 숨이 멎어 버릴 것,발라드,221,2021-04-23,겨울_아침,차량/운전중,슬픔
33433769,10597662,710093,The Weeknd,Save Your Tears (Remix),Save Your Tears (Remix),Ooh Ooh Na na yeah I saw you dancing in a crowded room You look so happy when Im not with you But then you saw me caught you by surprise A single teardrop falling from your eye I dont know why I run away Oh oh oh oh oh Ill make you cry when I run away Oh oh oh oh oh Take me back cause I wanna stay Save your tears for another Save your tears for another day Oh oh oh oh oh Save your tears for another day Met you once under a Pisces moon I,R&B/Soul,216,2021-04-23,겨울_저녁,차량/운전중,슬픔
33430095,10596629,43806,하동균,기다릴게,기다릴게,한걸음 걸어가죠 니 모습 눈물에 가리죠 내 눈물 밟으며 가까이 가까이 다가오는 너 초라한 내 모습이 니 마음 아프게 할까 겁나 숨죽여서 나 울고 있죠 꿈꾸는 듯 아름다운 내 사랑 점점 멀어지죠 나 니가 없는 이 세상에 시간에 혼자 살아 사는 게 사는 것이 아니라도 늘 그 자리에 눈 감는 날까지 나 영원히 너를 기다릴게 지우려 애를 써도 가슴에 니가 매일 얹혀서 너를 계속 나 찾아가죠 내 사랑이 짐이 될까 두렵죠 못난 내가 밉죠 나 니가 없는 이 세상에 시간에 혼자 살아 사는 게 사는 것이 아니라도 늘 그 자리에 눈 감는 날까지 나 영원히 기다릴게 나 니가 없는 이,발라드,250,2021-04-22,겨울_새벽,휴식/수면,슬픔
33444111,10599918,223745,The Wombats,Jump into the Fog,The Wombats Proudly Present... This Modern Glitch (10th Anniversary Edition),What a great achievement it was To get a hotel room this late Ill bet they charge by the hour here The kind of place you should bring your own UV ray Its not a big problem with me love You dont look that hygienic anyway Im only here because I wanna twist the structure of my average day  Chorus We feel nothing so jump into the fog In the hope that we hit the ground upright We feel nothing so jump into the fog I just hope its your bones that shatter not mine We feel nothing so,록/메탈,232,2021-04-22,봄_점심,산책/걷는중,분노
33427411,10595963,2933594,네이비쿼카 (NavyQuokka),솔직하게 말할까,솔직하게 말할까,눈을 뜨면 내 옆엔 늘 네가 있어 주면 좋을 것 같다는 상상을 해 바보 같다 해도 난 좋아 so 내 머릿속엔 온통 오 너만 떠올라서 no way 심장 떨리지만 아무렇지 않은척하고서 네게 전화를 걸어 신나게 춤을 추고 난 새들도 노랠 불러 오늘은 모든 게 다 잘 될 것 같은 기분 feels like oh yeah 어디야 지금 뭐 해라고 말하면 너무 부담스러울까 어떤 게 좋을까 나 지금 네가 너무 보고 싶어서 전화했다고 솔직하게 말할까 너에게 가고 있어 어느새 나도 모르게 신나게 춤을 추고 난 새들도 노랠 불러 오늘은 모든 게 다 잘 될 것 같은 기분 feels like oh yeah 오늘은,R&B/Soul,180,2021-04-21,가을_새벽,차량/운전중,분노
33422729,10594875,454001,크루셜스타 (Crucial Star),직감 (Luv Intuition) (Prod. Kenichiro Nishihara),Cherry Blossom,왠지 그런 직감이 와요 나는 내가 제일 잘 알죠 누군가를 제대로 알기 전엔 설레일 일 없는 타입이죠 근데 그댄 달라요 나는 그댈 잘 알지 못하는데도 yeah 나의 영혼이 끌려가는 느낌 it was all a dream 그댈 본 순간에 비로소 펼쳐진 real world 폭죽이 터진 뒤 맞이한 기적 Luv Intuition 다가올 내 하루들의 new religion 시커먼 내 캔버스 위에 분홍빛의 사랑이란 물감을 넌 풀어해치네 나의 playlist 위에 빼곡했던 우울한 노랫말들이 전부 가면을 벗네 이제 나의 펜이 적어내려갈 글귀 그댈 위한 사랑의 시 내 사랑의 시 왠지 그런 직감이 와요 왠지 그런 직감이 와요 왠지 그런 직감이 와요 왠지 그런 직감이 와요,랩/힙합,209,2021-04-20,봄_아침,산책/걷는중,슬픔
33423497,10595054,2749421,정동원,황금별,사랑의 콜센타 PART51,아주 먼 옛날에 한 왕이 아들과 함께 살았다네 세상을 두려워하면서 늘 왕자 걱정에 잠 들 수가 없었지 성벽을 높이고 문도 굳게 닫았네 어느 날 바람결에 실려 온 그리움 혼자 있는 왕자에게 속삭였네 북두칠성 빛나는 밤에 하늘을 봐 황금별이 떨어질 거야 황금별을 찾기 원하면 인생은 너에겐 배움터 그 별을 찾아 떠나야만 해 왕은 말하곤 했지 이 세상은 파멸로 가득 찼다 난 결코 밖을 보지 않아 저 세상에서 널 지키겠다 하셨네 성벽을 높이고 문도 굳게 닫았네 하지만 뛰는 가슴 멈출 수는 없어 왕자 성벽 넘어 세상 꿈꾸었네 자 여길 떠나 저 성벽 넘어 그 별을 찾으러 여행을 떠나야해 험한 세상 너 사는,성인가요/트로트,215,2021-04-20,가을_새벽,휴식/수면,슬픔
33425419,10595524,2113204,빈첸,GO O O,MANTA BIPOLAR Pt.2,이젠 좀 알 것 같다고 왜 사는지 이유는 몰라도 친구가족사랑평화 네 단어를 이제 배워서 기다려달라고 아들 자신 있다고 감정으로 받은 거 숫자로 갚아본다고 살아본다 GO O O 한 번 사는 거라 GO O O 한번 밖에 못 산다 GO O O 자주 왔다 갔다 거려 나의 멘탈리즘이 한번 왔다가는 삶야 나의 알고리즘이 띄워주는 빝 click OH X나 구리지 그래서 기타를 딩가링가링 난 이게 재밌지 쟤한텐 일이라던데 난 놀고서 버내 감사해 사랑을 배우고 나서야 생각난 건데 난 흘려보내지 못하고 잡았어 아파서 피가 났어 이런 손으로 네 손잡기 싫어서 눈 감고 뒤돌아서 한참을 뛰고 그제서야 너가 안 보였어 그때는 그랬어 정말 힘들었어,랩/힙합,171,2021-04-20,여름_아침,운동/훈련중,슬픔
33425484,10595535,787227,페노메코 (PENOMECO),Hotel Lobby (Feat. 버벌진트),Dry Flower,전부 다 비켜 균형이 무너져서 쓰러지기 전에 전부 다 비켜 균형이 무너져서 쓰러지기 전에 돌고 돌아 나는 여기야 낯설었던 곳에 나 혼자 I dont know why 나도 날 몰라 울려 전화 사랑 없는 걱정만 하루 종일 걷다 보니 아무 데나 주저앉고 싶어 솔직히 잡아주지 않는단 걸 알고 있어 덕분에 내 손은 lonely Somebody help me 여전히 울보에다 겁쟁이지 아직 And Im starving 그래 여전히 어색하고 차갑기만 한 공기 흙먼지 낀 신발을 털어 내 피곤한 몸을 눕히지 잠깐의 고된 여행이었다고 퉁치지 불안한 맘은 몰래 숨기기 조금 쉬어간다면 모두 괜찮아지길 Get over Get over Tryna get on Get over Get on Get,랩/힙합,243,2021-04-20,봄_저녁,산책/걷는중,분노
33421279,10594481,2019841,Josh Tobias,High Tide,High Tide,you had a bad dream had a bad dream again a storm was raging but I wasnt there to hold your hand but I promise the moment you open your eyes Ill be by your side you know I love you I tell you everyday but you say that love wont it wont wash away your pain but I promise the moment the tides roll out well find higher ground,포크,156,2021-04-19,가을_점심,차량/운전중,슬픔
33421338,10594503,2759305,오새봄 (OH SAE BOM),지워져가,지워져가,널 마주했었던 그 날에 날 바라보던 모습이 그리워 자꾸만 떠올라 그때 널 생각했던 그 밤이 고마워했던 그 맘이 더 나를 아프게만해 지워져 가 함께한 모든 순간이 지워져 가 나의 모든 기억이 Cause I cant be No I cant make you fall with me Cause I cant see you fall with me Dont make me tell you fall with me 함께했던 그 날 좋았던 날 그날의 온기 마저 잊혀져가 남겨둔 기억 모두 다 멀어져만가 저 닿을 수 없는 그곳에 멀게만 느껴졌던 길 그리워 기다리던 넌 내 맘 알까 나 사실 아파했던걸 말하지 못했다는걸 이제서야 알게됐단걸 지워져 가 함께한 모든 순간이 지워져,발라드,249,2021-04-19,가을_새벽,차량/운전중,슬픔
33422387,10594808,894864,DAY6 (데이식스),everyday we fight,The Book of Us : Negentropy - Chaos swallowed up in love,Everyday we fight 싸우다 보면 또 풀려 사소한 일로도 다퉈 뭐 남들이 보면 어떻게 그러고 계속 만나냐고 물어봐  쌓일 게 없는 거니까 That is why 거짓말 있으면 거짓말 We know 참아 주는 게 우리 사이에는 그 무엇보다 해롭다는 걸  숨기지 않고 그냥 두지 말고 언제나 그렇듯이  Lets fight 아픔은 잠깐이겠지만 우린 더 단단해져 Its fine 있는 힘껏 털어낸 순간 가까워지는 우릴 느껴 꾸밈없는 모습이 좋아 Thats how we love  Everyday we fight 얼마 안 가서 또 풀려 끝 마무리는 안으며 꼭 사랑한다고 서로에게 전해 줘 언제 그랬냐는 듯이  숨기지 않고 그냥 두지 말고 아쉬울 거,록/메탈,210,2021-04-19,겨울_저녁,산책/걷는중,분노
33422461,10594831,640891,뉴이스트,INSIDE OUT,The 2nd Album 'Romanticize',Youre the one that I want The one that I need Dont wanna be free Youre the one that I want The one that I need Dont wanna be free Ayyy  다른 사랑할 수 있어 난 아무렇지 않아 다 Oh I say 망가져 보는 거야 이렇게 벗어난 Stereotype 이별의 Prototype Woo 나에겐 너만이 Mistake Woo Im gonna run away  이름 모를 사이에 주고받는 ID 조금만 지나면 익숙해지겠지 이런 나를 네가 찾아봤으면 해 Oh baby 이젠 네가 없는 내 하루의 끝에서  너의 생일을 비밀번호로 누르고 들어와서  집 문을 닫았을 때 다 무너지는 Guard rail 내 마음은 자꾸,댄스,197,2021-04-19,여름_점심,차량/운전중,분노
33421061,10594395,1907753,멋진녀석들 (GreatGuys),TOUCH BY TOUCH (KOR Ver.),Special Album 'AGAIN',마음이 추워 세상이 얼어도 Touch by touch 봄이 찾아와 마음을 녹여줘 Heart to heart 아무것도 아니야 걱정하지 마 baby 그냥 잠시 꾼 악몽일 뿐이야 시들어 버린 꽃에 생명을 불어넣는 호흡 Wish and dream and love Touch by touch 멀지 않아 우리가 만날 그날이 언제나 그래왔듯이 We find the way La la la la la La la la la la Do you want a beautiful world My grace and great 그렇다면 소리 한 번 질러 ooh ooh ooh 마음이 추워 세상이 얼어도 Touch by touch 봄이 찾아와 마음을 녹여줘 Heart to heart Dont worry we alright 서로의 온기를 전해줘요 Touch by,댄스,185,2021-04-18,봄_새벽,차량/운전중,안정
33421275,10594479,738480,박재정,좋았는데,좋았는데,너를 사랑한다는 말로는 담아내지 못한 우리 둘의 이야기 가끔 당장 날 보고 싶다고 말하던 너는 언제나 눈부신 설렘이었어 좋았는데 둘이서 함께면 언젠가는 우리 둘을 꼭 닮은 아이와 같이 할 거라고 내게 말하던 넌 기억하고 있을까 오늘 혜화동에 와 봤어 우리가 걸었던 서로 사랑했던 거리 나를 보며 너를 사랑하는 이유를 말해달라 보채던 네 표정이 또 떠올라 혼자 대답했어 좋았는데 나에게 기대면 자연스레 우리 둘은 꼭 닮은 말투와 행동이었는데 항상 나도 몰래 너를 찾고 있잖아 오늘 혜화동에 와 봤어 우리가 걸었던 서로 사랑했던 거리 나를 보며 너를 사랑하는 이유를 말해달라 보채던 네 표정이 또 떠올라 혼자 대답했어 아직까진 네가 있어 나도 모르게,발라드,237,2021-04-18,봄_새벽,휴식/수면,슬픔
33413581,10592595,1054368,Regard,You,You,Intro Troye Sivan Ooh yeah All I see is you is you is you Oh you ooh  Refrain Troye Sivan How could you ever leave me without a chance to try How can I be sorry if I dont know the crime I should be mad cause you never told me why Still I cant seem to say goodbye  Chorus Troye Sivan Ooh yeah When I try to fall back I fall back to you Yeah ayy When I talk to my friends I talk about you Yeah ayy When the Hennessys strong all I see is you,일렉트로니카,233,2021-04-16,여름_저녁,산책/걷는중,분노
33416006,10593336,2758426,BehindtheMoon,그림일기,그림일기,반복되는 일상 속에서 어딘가 외롭게 느껴졌어 지나가버린 시간속에 길을 잃고 주저했던 날들 가장 환하게 웃었던 너와의 추억 속 잃고 싶지 않은 작은 빛을 발견했어 걸어가는 이 길 위의 이야기를 너와 함께 그려갈게 잃어버린 조각 이제 찾았으니까 수없이 연습해봤던 이야기들 우리만의 작은 약속 더는 헤매지 않아 내 손을 잡아줘 외롭고 지루하던 날들 혼자 널 그리던 밤 속에서 가장 환하게 웃었던 너와의 추억 속 잃고 싶지 않은 작은 빛을 발견했어 걸어가는 이 길 위의 이야기를 너와 함께 그려갈게 잃어버린 조각 이제 찾았으니까 수없이 연습해봤던 이야기들 우리만의 작은 약속 더는 헤매지 않아 내 손을 잡아줘 밤새 높이 지지 않는 별들을 따라서 나 너와의,인디음악,227,2021-04-16,겨울_새벽,휴식/수면,슬픔
33416314,10593453,491340,Eric Church,Heart On Fire,Heart,Verse  Roosevelt Road was too rough for my old truck Yeah shed shake and shed shimmy like Elvis singin All Shook Up But you cant blame a boy for going drive it like you stole it fast With your window down brown hair blowin look at me like that  Chorus A turned up radio but the static was heavy Couldnt make out any words but take me to the levee That look on your face was full of wild desire Soakin my soul in gas and settin my heart on fire Heart on fire heart on fire heart,컨트리,259,2021-04-16,봄_점심,차량/운전중,분노
